epoch;0_iou;1_iou;accuracy;loss;lr;recall;val_0_iou;val_1_iou;val_accuracy;val_loss;val_recall
11;0.9966646432876587;0.45290517807006836;0.9966737627983093;0.0015300556551665068;1e-04;0.9966737627983093;0.996873140335083;0.45726919174194336;0.9968813061714172;0.001537299482151866;0.9968813061714172
12;0.9966763257980347;0.4571934640407562;0.9966853857040405;0.0014827466802671552;1e-04;0.9966855049133301;0.996732771396637;0.477131724357605;0.9967424869537354;0.00156727759167552;0.9967424869537354
13;0.9966718554496765;0.4610755145549774;0.9966814517974854;0.0014676686841994524;1e-04;0.9966813921928406;0.9967645406723022;0.4585059881210327;0.9967734217643738;0.0015256103361025453;0.9967734217643738
14;0.9966683983802795;0.46254217624664307;0.996677815914154;0.0015027063200250268;1e-04;0.9966779351234436;0.9968326091766357;0.47663402557373047;0.9968417286872864;0.0015150704421103;0.9968417286872864
15;0.9967146515846252;0.46407732367515564;0.9967240691184998;0.0014643777394667268;1e-04;0.9967239499092102;0.996731698513031;0.48915261030197144;0.9967418909072876;0.0015302846441045403;0.9967418909072876
16;0.9966877698898315;0.4598972797393799;0.9966970682144165;0.0014768261462450027;1e-04;0.996697187423706;0.996867299079895;0.463466078042984;0.9968758225440979;0.00149313744623214;0.9968758225440979
17;0.9967375993728638;0.46774765849113464;0.9967468976974487;0.0014636708656325936;1e-04;0.996746838092804;0.9968822598457336;0.4726962149143219;0.9968909025192261;0.0014618790009990335;0.9968909025192261
18;0.9967454671859741;0.46476253867149353;0.9967545866966248;0.0014208884676918387;1e-04;0.9967545866966248;0.9968758225440979;0.4677320420742035;0.996884286403656;0.0014669493539258838;0.996884286403656
19;0.9967593550682068;0.4750782251358032;0.9967689514160156;0.0014223188627511263;1e-04;0.9967689514160156;0.9968650937080383;0.4934881925582886;0.9968746900558472;0.0014604541938751936;0.9968746900558472
20;0.9967471957206726;0.4684922397136688;0.9967565536499023;0.0014336226740851998;1e-04;0.9967565536499023;0.9968502521514893;0.47847071290016174;0.9968593716621399;0.0014553930377587676;0.9968593716621399
21;0.996775209903717;0.47539329528808594;0.9967846274375916;0.0014314214931800961;1e-04;0.9967846274375916;0.9969143271446228;0.49305328726768494;0.9969235062599182;0.0014721853658556938;0.9969235062599182
22;0.9967994689941406;0.47484517097473145;0.9968085289001465;0.0014065083814784884;1e-04;0.996808648109436;0.9968531131744385;0.48257768154144287;0.9968624114990234;0.0014573490479961038;0.9968624114990234
23;0.996781587600708;0.4748244285583496;0.9967911243438721;0.0013789484510198236;1e-05;0.9967909455299377;0.996900737285614;0.4827330410480499;0.9969096183776855;0.001456424710340798;0.9969096183776855
24;0.9968541860580444;0.4801267683506012;0.9968632459640503;0.0013818095903843641;1e-05;0.9968632459640503;0.9968835711479187;0.49032753705978394;0.9968928694725037;0.001440701074898243;0.9968928694725037
25;0.9967816472053528;0.4767630398273468;0.996790885925293;0.0013935461174696684;1e-05;0.996790885925293;0.9968963265419006;0.48452362418174744;0.9969052672386169;0.0014424792025238276;0.9969052672386169
26;0.9967656135559082;0.4738554358482361;0.9967751502990723;0.0014053622726351023;1e-05;0.9967750310897827;0.9968904852867126;0.48876437544822693;0.9968997836112976;0.0014353743754327297;0.9968997836112976
27;0.9968047142028809;0.4784867763519287;0.9968141317367554;0.0013948335545137525;1e-05;0.9968140721321106;0.9968835115432739;0.48832643032073975;0.9968926906585693;0.0014332187129184604;0.9968926906585693
28;0.9967920184135437;0.48218411207199097;0.996801495552063;0.001374628976918757;1e-05;0.996801495552063;0.9968974590301514;0.4869458079338074;0.9969064593315125;0.0014360223431140184;0.9969064593315125
29;0.996780514717102;0.4803556501865387;0.9967900514602661;0.0013778811553493142;1e-05;0.9967899918556213;0.9969017505645752;0.4870493710041046;0.9969108700752258;0.001439381972886622;0.9969108700752258
30;0.9968194961547852;0.47811052203178406;0.9968286156654358;0.001362606417387724;1e-05;0.9968286752700806;0.9969056844711304;0.4881387948989868;0.9969148635864258;0.0014415198238566518;0.9969148635864258
31;0.9968162775039673;0.47907984256744385;0.9968254566192627;0.0013672405621036887;1e-05;0.9968255758285522;0.9968963265419006;0.49109598994255066;0.996905505657196;0.0014333828585222363;0.996905505657196
